TIME,Jevois Image Capture Time,Drivetrain L1 Motor Current,Drivetrain Desired Pose Angle,Drivetrain L2 Motor Current,Jevois Target Rotation Angle,Arm Lower Position Limit Switch,Operator Intake Speed Command,Estimated distance to target,Jevois Target Visible,Jevois Frame Count,Back Ultrasonic Distance,Drivetrain Up/Down Acceleration,Driver Fwd-Rev Command,Operator Arm Position Command,Intake Right Sensor Raw Voltage,Drivetrain Actual Pose Angle,Driver SlowMove Command,Pneumatics Compressor Current,Arm Motor Current,Arm Desired Velocity,Arm Upper Position Limit Switch,Driver Compressor Disable Command,Intake Commanded Position,botDesPoseY,Auto Alignment Requested,botDesPoseX,Jevois Framerate,Driver Intake Position Command,botDesPoseT,Pneumatics Main System Pressure,Gripper Stopper Cylinder Command,Operator Auto Align Mid Command,Jevois Packets Per Sec,Jevois Target Angle,Main Loop Call Period,Superstructure Commanded Mode,Driver Gyro Angle Lock Command,Drivetrain Right Motor Command,roboRIO Sys Memory Load,Line Follower Estimated Position,Gripper Main Cylinder Command,Line Follower Measured Position,Intake Left Motor Current,Robot Brownout,Drivetrain Gyro-Lock Rotation Command,botActPoseT,botActPoseX,botActPoseY,Intake Right Motor Current,Battery Current Draw,Driver Compressor Enable Command,Line Follower Estimated Position Available,Driver Rotate Command,Intake Right Motor Actual Position,Intake Left Motor Actual Position,Drivetrain Left/Right Acceleration,Operator Gamepiece Grab Command,Line Follower Measured Position Available,Auto State Sequencer Step,Front Ultrasonic Sensor Voltage,Drivetrain Left Wheel Actual Speed,Drivetrain Left Motor Command,Jevois Target X Position,Battery Voltage,Gripper Retracted Switch,Superstructure Actual Mode,roboRIO JVM Memory Load,Intake Left Arm Position On Target,Arm At Desired Angle,Drivetrain Left Wheel Desired Speed,Climber Release Motor Current,Front Ultrasonic Distance Available,Front Ultrasonic Distance,Arm Actual Velocity,Main Loop Process Duration,Operator Climber Release Command,Back Ultrasonic Sensor Voltage,Arm Actual Position,roboRIO CPU Load,Drivetrain R1 Motor Current,Drivetrain R2 Motor Current,Match Time,Pneumatics Cutoff Switch State,Auto Alignment Failed,Arm Motor Command,Drivetrain Right Wheel Desired Speed,Back Distance Available,Dataserver File Logger Queue Length,Intake Roller Motor Command,Driver Intake Speed Command,Intake Right Arm Position On Target,Operator Auto Align Low Command,Gripper Position Requested,Drivetrain Operation Mode,Drivetrain Fwd/Rev Acceleration,Intake Ball Present,Gripper Position Stable,Robot CAN Bus Utilization,Operator Climber Release Enable Command,Drivetrain Right Wheel Actual Speed,Dataserver Stored Samples,Operator Auto Align Top Command,Jevois CPU Load,Operator Gamepiece Release Command,Jevois Target Y Position,Arm Desired Position,Intake Left Sensor Raw Voltage,Operator Manual Arm Position Command,Auto Stable Target Found,Superstructure Sequencer Step,Jevois CPU Temp,
sec,sec,A,Deg,A,deg,bool,speed enum,ft,bool,count,ft,g,cmd,Arm Pos Enum,V,Deg,bool,A,A,deg per sec,bool,bool,Intake Pos Enum,in,bool,in,fps,pos enum,deg,psi,bool,bool,pps,rad,sec,OpMode,bool,cmd,Pct,ft,bool,ft,A,bool,cmd,deg,in,in,A,A,bool,bool,cmd,deg,deg,g,bool,bool,step,mV,RPM,cmd,ft,V,bool,OpMode,Pct,bool,bool,RPM,A,true/false,ft,deg per sec,sec,bool,mV,deg,Pct,A,A,sec,bool,bool,cmd,RPM,true/false,count,cmd,speed enum,bool,bool,pos,Op Mode Enum,g,bool,bool,pct,bool,RPM,count,bool,pct,bool,ft,deg,V,cmd,bool,idx,C,
659.890211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1917176284473,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659.870667,,0.125,0.0,0.125,,,,,,,,1.00390625,,,,-0.7775,,0.65625,,,,,,0.0,,0.0,,,0.0,-11.524707142857144,,,,,,,,0.0,,,,,0.0,0.0,0.0,-0.7938125,0.48948191728445595,52.34059529864679,0.0,0.0,,,,,,0.0546875,,,,,0.0,0.0,,12.9,,,,,,0.0,0.0,,,,0.05500399999993988,,,,,0.125,0.25,-1.0,1.0,,,0.0,,26.0,,,,,,0.0,-0.0234375,,,0.33477136492729187,,0.0,32.0,,,,,,,,,,,
659.942454,,0.125,0.0,0.125,,0.0,0.0,3.919492572177876,,,0.5259809514435679,1.0078125,0.0,4.0,0.7341087716710466,-0.7771625000000001,0.0,0.65625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,-11.524707142857144,1.0,0.0,,,0.07178699999997207,0.0,0.0,0.0,,-0.33333333,1.0,-0.33333333,0.0,0.0,0.0,-0.7938125,0.48948191728445595,52.34059529864679,0.0,0.0,0.0,1.0,-0.0,4.121359487909714,4.6950207111819875,0.05078125,0.0,1.0,-1.0,1193.847534,0.0,0.0,,12.9,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,3.919492572177876,-0.0,0.06463299999995797,0.0,161.132796,-0.0,,0.125,0.25,-1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.015625,0.0,1.0,0.33477136492729187,0.0,0.0,24.0,0.0,,0.0,,100.0,0.31008913027400486,0.0,0.0,-1.0,,
660.024448,,0.125,0.0,0.125,,0.0,0.0,3.9168226181096344,,,0.5273159284776887,1.00390625,0.0,4.0,0.7341087716710466,-0.778375,0.0,0.65625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,-11.524707142857144,1.0,0.0,,,0.08199400000000878,0.0,0.0,0.0,,-0.33333333,1.0,-0.33333333,0.0,0.0,0.0,-0.7938125,0.48948191728445595,52.34059529864679,0.0,0.0,0.0,1.0,-0.0,4.12937938387702,4.58968179799406,0.05078125,0.0,1.0,-1.0,1193.847534,0.0,0.0,,12.9,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,3.9168226181096344,-0.0,0.047975999999948726,0.0,161.132796,-0.0,,0.125,0.25,-1.0,1.0,0.0,0.0,0.0,1.0,101.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.01953125,0.0,1.0,0.33477136492729187,0.0,0.0,24.0,0.0,,0.0,,100.0,0.31008913027400486,0.0,0.0,-1.0,,
660.082347,,0.125,0.0,0.125,,0.0,0.0,3.919492572177876,,,0.5286509055118095,,0.0,4.0,0.7336754222783683,-0.7746125,0.0,0.65625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,-11.524707142857144,1.0,0.0,,,0.05789900000002035,0.0,0.0,0.0,,-0.33333333,1.0,-0.33333333,,,0.0,-0.7938125,0.48948191728445595,52.34059529864679,,0.0,0.0,1.0,-0.0,4.185699522679807,4.630428911058447,0.0625,0.0,1.0,-1.0,1196.2889400000001,0.0,0.0,,12.9,0.0,0.0,,1.0,0.0,0.0,,0.0,3.919492572177876,-0.0,,0.0,161.132796,-0.0,,0.125,0.25,,1.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.015625,0.0,1.0,,0.0,0.0,32.0,0.0,,0.0,,100.0,0.3099060825548304,0.0,0.0,-1.0,,
660.142517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.06755289006422,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660.082347,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.06701999999995678,,,,,,,-1.0,,,,,,,,,,,,,,,,0.33477136492729187,,,,,,,,,,,,,,
660.169554,,0.125,0.0,0.0,,0.0,0.0,3.919492572177876,,,0.5273159284776887,0.99609375,0.0,4.0,0.7345426332866404,-0.7737875000000001,0.0,0.65625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,-11.524707142857144,1.0,0.0,,,0.08720699999992121,0.0,0.0,0.0,,-0.33333333,1.0,-0.33333333,0.0,0.0,0.0,-0.7938125,0.48948191728445595,52.34059529864679,0.0,0.0,0.0,1.0,-0.0,3.9522421772496727,4.766711571455199,0.046875,0.0,1.0,-1.0,1193.847534,0.0,0.0,,12.950000000000001,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,3.919492572177876,-0.0,0.04729700000007142,0.0,159.912093,-0.0,,0.125,0.25,-1.0,1.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.015625,0.0,1.0,0.33477136492729187,0.0,0.0,24.0,0.0,,0.0,,100.0,0.3102723943572449,0.0,0.0,-1.0,,
660.228699,,0.125,0.0,0.125,,0.0,0.0,3.919492572177876,,,0.5259809514435679,1.00390625,0.0,4.0,0.7350076511165969,-0.7743625000000001,0.0,0.65625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,-11.524707142857144,1.0,0.0,,,0.059145000000057735,0.0,0.0,0.0,,-0.33333333,1.0,-0.33333333,0.0,0.0,0.0,-0.7938125,0.48948191728445595,52.34059529864679,0.0,0.0,0.0,1.0,-0.0,3.8958030879349663,4.790636779644796,0.046875,0.0,1.0,-1.0,1193.847534,0.0,0.0,,12.9,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,3.919492572177876,-0.0,0.063837000000035,0.0,159.912093,-0.0,,0.125,0.25,-1.0,1.0,0.0,0.0,0.0,1.0,123.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.02734375,0.0,1.0,0.33477136492729187,0.0,0.0,24.0,0.0,,0.0,,100.0,0.3101162130006283,0.0,0.0,-1.0,,
660.307739,,0.125,0.0,0.125,,0.0,0.0,3.9168226181096344,,,0.5339908136482923,0.99609375,0.0,4.0,0.7345426332866404,-0.77125,0.0,0.65625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,-11.524707142857144,1.0,0.0,,,0.07903999999996358,0.0,0.0,0.0,,-0.33333333,1.0,-0.33333333,0.0,0.0,0.0,-0.7938125,0.48948191728445595,52.34059529864679,0.0,0.0,0.0,1.0,-0.0,4.12937938387702,4.848125301486764,0.046875,0.0,1.0,-1.0,1193.847534,0.0,0.0,,12.950000000000001,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,3.9168226181096344,-0.0,0.04724900000007892,0.0,168.45701400000002,-0.0,,0.125,0.25,-1.0,1.0,0.0,0.0,0.0,1.0,87.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0234375,0.0,1.0,0.33477136492729187,0.0,0.0,32.0,0.0,,0.0,,100.0,0.3102723943572449,0.0,0.0,-1.0,,
